,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_id[492],0.66,0.83,-0.91,2.2,0.02,0.01,2597.0,8990.0,1.01
beta_id[493],-0.5,0.81,-2.05,0.99,0.02,0.01,2789.0,8636.0,1.01
beta_id[494],-0.2,0.81,-1.74,1.32,0.02,0.01,2794.0,8890.0,1.01
beta_id[495],-4.8,1.06,-6.8,-2.82,0.03,0.02,1648.0,5137.0,1.01
beta_id[496],-8.03,1.29,-10.38,-5.57,0.04,0.03,1161.0,3850.0,1.01
beta_id[497],-0.5,0.81,-2.01,1.05,0.02,0.01,2876.0,8430.0,1.01
beta_id[498],-0.32,0.8,-1.83,1.19,0.02,0.01,2957.0,10161.0,1.01
beta_id[499],-0.62,0.79,-2.1,0.85,0.01,0.01,3417.0,10189.0,1.0
beta_id[500],0.62,0.81,-0.92,2.11,0.02,0.01,2921.0,8441.0,1.01
beta_id[501],1.08,0.81,-0.44,2.59,0.02,0.01,3045.0,9713.0,1.01
beta_id[502],0.68,0.82,-0.86,2.21,0.02,0.01,2729.0,8291.0,1.01
beta_id[503],-2.36,1.04,-4.29,-0.38,0.03,0.02,1657.0,5502.0,1.01
beta_id[504],-7.55,1.03,-9.47,-5.6,0.03,0.02,1524.0,6055.0,1.01
beta_id[505],1.2,0.78,-0.27,2.67,0.01,0.01,3719.0,11685.0,1.0
beta_id[506],5.52,0.79,4.02,6.99,0.01,0.01,3054.0,9793.0,1.01
beta_id[507],3.22,1.09,1.18,5.26,0.03,0.02,1363.0,5391.0,1.01
beta_id[508],-0.09,0.79,-1.57,1.4,0.01,0.01,3514.0,10863.0,1.0
beta_id[509],-0.51,0.79,-1.99,0.99,0.01,0.01,3206.0,9345.0,1.01
beta_id[510],-7.1,1.03,-9.02,-5.16,0.02,0.02,1672.0,5444.0,1.01
beta_id[511],1.34,0.79,-0.18,2.81,0.01,0.01,3248.0,9650.0,1.01
beta_id[512],-2.1,0.79,-3.58,-0.62,0.01,0.01,3589.0,11935.0,1.0
beta_id[513],-3.86,0.89,-5.52,-2.17,0.02,0.01,2534.0,7713.0,1.01
beta_id[514],1.49,0.79,0.02,2.98,0.01,0.01,3669.0,12201.0,1.0
beta_id[515],-0.47,0.79,-1.91,1.04,0.01,0.01,3510.0,11264.0,1.0
beta_id[516],-0.06,0.81,-1.56,1.47,0.02,0.01,2926.0,9355.0,1.01
beta_id[517],-2.76,0.93,-4.53,-1.04,0.02,0.01,2278.0,6739.0,1.01
beta_id[518],-0.43,0.81,-1.98,1.08,0.02,0.01,2807.0,8285.0,1.01
beta_id[519],-2.83,0.79,-4.35,-1.38,0.01,0.01,3517.0,12154.0,1.0
beta_id[520],-2.62,1.07,-4.58,-0.55,0.03,0.02,1634.0,4847.0,1.01
beta_id[521],-5.83,1.03,-7.79,-3.91,0.02,0.02,1699.0,5745.0,1.01
beta_id[522],-1.11,0.81,-2.64,0.39,0.02,0.01,3091.0,9149.0,1.01
beta_id[523],-1.22,0.8,-2.77,0.23,0.01,0.01,3148.0,9680.0,1.01
beta_id[524],-4.9,1.02,-6.82,-2.99,0.02,0.02,1617.0,5822.0,1.01
beta_id[525],-7.45,1.03,-9.36,-5.51,0.02,0.02,1660.0,6298.0,1.01
beta_id[526],0.94,0.81,-0.62,2.45,0.02,0.01,2800.0,9243.0,1.01
beta_id[527],-0.91,0.8,-2.41,0.58,0.01,0.01,3324.0,10312.0,1.01
beta_id[528],8.17,1.07,6.17,10.17,0.03,0.02,1638.0,4805.0,1.01
beta_id[529],-0.01,0.82,-1.56,1.55,0.02,0.01,2620.0,7704.0,1.01
beta_id[530],1.24,1.05,-0.75,3.19,0.03,0.02,1687.0,5737.0,1.01
beta_id[531],-0.39,0.79,-1.85,1.12,0.01,0.01,3118.0,9370.0,1.01
beta_id[532],-1.75,1.56,-4.68,1.15,0.04,0.03,1332.0,2284.0,1.01
beta_id[533],-4.38,1.03,-6.31,-2.44,0.02,0.02,1631.0,5210.0,1.01
beta_id[534],-2.5,1.03,-4.44,-0.57,0.02,0.02,1662.0,5645.0,1.01
beta_id[535],-0.78,0.8,-2.27,0.75,0.02,0.01,3053.0,10049.0,1.01
beta_id[536],-1.98,1.14,-4.13,0.15,0.03,0.02,1684.0,3371.0,1.01
beta_id[537],1.58,1.05,-0.36,3.6,0.03,0.02,1640.0,5238.0,1.01
beta_id[538],-2.83,0.81,-4.36,-1.31,0.01,0.01,3436.0,11761.0,1.0
beta_id[539],-2.78,1.02,-4.73,-0.88,0.02,0.02,1614.0,6154.0,1.01
beta_id[540],-0.04,0.82,-1.61,1.48,0.02,0.01,2673.0,8735.0,1.01
beta_id[541],5.0,1.04,3.07,6.96,0.02,0.02,1700.0,5066.0,1.01
beta_id[542],2.25,0.86,0.64,3.9,0.02,0.01,2796.0,8558.0,1.01
beta_id[543],3.19,0.8,1.66,4.66,0.01,0.01,3592.0,11832.0,1.0
beta_id[544],2.64,0.8,1.12,4.12,0.02,0.01,3043.0,9630.0,1.01
beta_id[545],1.04,0.83,-0.53,2.58,0.02,0.01,2624.0,8238.0,1.01
beta_id[546],-1.32,0.8,-2.84,0.17,0.02,0.01,3004.0,10059.0,1.01
beta_id[547],2.06,0.81,0.54,3.57,0.02,0.01,2831.0,8653.0,1.01
beta_id[548],0.42,0.83,-1.17,1.96,0.02,0.01,2652.0,8705.0,1.01
beta_id[549],1.08,0.79,-0.36,2.61,0.01,0.01,3455.0,10832.0,1.01
beta_id[550],0.36,0.81,-1.15,1.89,0.02,0.01,2950.0,10049.0,1.01
beta_id[551],3.09,0.85,1.5,4.71,0.02,0.01,2888.0,9591.0,1.01
beta_id[552],1.31,0.79,-0.16,2.79,0.01,0.01,3626.0,11344.0,1.0
beta_id[553],1.01,0.8,-0.48,2.54,0.02,0.01,3014.0,8987.0,1.01
beta_id[554],5.73,1.03,3.8,7.67,0.03,0.02,1550.0,6026.0,1.01
beta_id[555],-0.26,0.79,-1.72,1.25,0.01,0.01,3316.0,10165.0,1.0
beta_id[556],-0.17,0.8,-1.66,1.33,0.01,0.01,3191.0,9562.0,1.01
beta_id[557],-1.13,0.8,-2.66,0.36,0.02,0.01,2833.0,9219.0,1.01
beta_id[558],4.83,0.78,3.39,6.32,0.01,0.01,3528.0,11678.0,1.0
beta_id[559],0.22,0.8,-1.29,1.72,0.02,0.01,3036.0,8867.0,1.01
beta_id[560],-1.13,0.79,-2.62,0.38,0.01,0.01,3377.0,10582.0,1.01
beta_id[561],-0.23,0.81,-1.75,1.3,0.02,0.01,2913.0,9459.0,1.01
beta_id[562],-1.78,0.78,-3.25,-0.33,0.01,0.01,3569.0,13151.0,1.0
beta_id[563],-3.44,0.98,-5.23,-1.53,0.02,0.02,2055.0,4810.0,1.01
beta_id[564],1.11,0.79,-0.34,2.63,0.01,0.01,3373.0,10724.0,1.0
beta_id[565],-5.29,1.06,-7.27,-3.31,0.03,0.02,1679.0,5418.0,1.01
beta_id[566],-0.82,0.81,-2.3,0.74,0.02,0.01,2893.0,8789.0,1.01
beta_id[567],0.13,0.79,-1.38,1.58,0.01,0.01,3623.0,11436.0,1.0
beta_id[568],-1.36,0.78,-2.82,0.14,0.01,0.01,3603.0,11980.0,1.0
beta_id[569],-5.09,1.05,-7.08,-3.15,0.03,0.02,1618.0,4697.0,1.01
beta_id[570],0.08,0.8,-1.41,1.58,0.01,0.01,3283.0,9624.0,1.0
beta_id[571],3.22,0.8,1.73,4.74,0.02,0.01,2973.0,8660.0,1.01
beta_id[572],-0.47,0.87,-2.11,1.18,0.02,0.01,2730.0,7783.0,1.01
beta_id[573],-3.5,1.08,-5.54,-1.49,0.03,0.02,1632.0,4675.0,1.01
beta_id[574],1.22,0.79,-0.28,2.68,0.01,0.01,3575.0,11655.0,1.0
beta_id[575],-0.94,0.8,-2.46,0.54,0.01,0.01,3114.0,10072.0,1.01
beta_id[576],-2.05,1.08,-4.04,0.0,0.03,0.02,1595.0,4648.0,1.01
beta_id[577],-1.09,0.79,-2.57,0.4,0.01,0.01,3598.0,12245.0,1.0
beta_id[578],-1.11,0.79,-2.58,0.38,0.01,0.01,3529.0,12064.0,1.0
beta_id[579],1.02,1.02,-0.9,2.93,0.02,0.02,1647.0,6142.0,1.01
beta_id[580],1.63,0.81,0.09,3.15,0.02,0.01,2714.0,8545.0,1.01
beta_id[581],-0.58,0.83,-2.13,0.98,0.02,0.01,2653.0,8271.0,1.01
beta_id[582],-2.02,0.78,-3.51,-0.55,0.01,0.01,3577.0,12115.0,1.0
beta_id[583],0.0,0.8,-1.49,1.52,0.01,0.01,3633.0,12586.0,1.0
beta_id[584],-5.05,1.05,-7.03,-3.1,0.03,0.02,1629.0,5660.0,1.01
beta_id[585],-0.75,0.82,-2.29,0.81,0.02,0.01,2734.0,8587.0,1.01
beta_id[586],-4.53,1.02,-6.42,-2.59,0.02,0.02,1665.0,6200.0,1.01
beta_id[587],-1.98,0.79,-3.5,-0.52,0.01,0.01,3566.0,12327.0,1.0
beta_id[588],-1.09,0.82,-2.62,0.47,0.01,0.01,3210.0,10954.0,1.01
beta_id[589],2.79,1.02,0.92,4.76,0.03,0.02,1601.0,6294.0,1.0
beta_id[590],-0.42,0.79,-1.9,1.06,0.01,0.01,3403.0,11309.0,1.0
beta_id[591],0.02,0.8,-1.47,1.53,0.01,0.01,3493.0,11461.0,1.0
beta_id[592],-0.38,0.82,-1.92,1.18,0.02,0.01,2671.0,8195.0,1.01
beta_id[593],-0.3,0.82,-1.82,1.28,0.02,0.01,2630.0,8446.0,1.01
beta_id[594],-0.93,0.78,-2.4,0.54,0.01,0.01,3634.0,11178.0,1.0
beta_id[595],-0.57,0.79,-2.06,0.91,0.01,0.01,3642.0,11629.0,1.0
beta_id[596],-5.06,1.02,-6.99,-3.16,0.02,0.02,1666.0,5842.0,1.0
beta_id[597],-0.51,0.8,-2.04,0.96,0.01,0.01,3310.0,11505.0,1.01
beta_id[598],0.1,0.79,-1.39,1.59,0.01,0.01,3662.0,12212.0,1.0
beta_id[599],0.11,0.79,-1.37,1.6,0.01,0.01,3484.0,10600.0,1.0
beta_id[600],0.21,0.79,-1.26,1.7,0.01,0.01,3641.0,12676.0,1.0
beta_id[601],1.62,0.79,0.1,3.08,0.01,0.01,3251.0,10390.0,1.0
beta_id[602],-0.6,0.79,-2.09,0.89,0.01,0.01,3383.0,9719.0,1.01
beta_id[603],2.69,1.02,0.75,4.6,0.03,0.02,1578.0,6071.0,1.01
beta_id[604],0.3,0.8,-1.18,1.81,0.01,0.01,3626.0,12309.0,1.0
beta_id[605],1.01,0.81,-0.52,2.53,0.02,0.01,2938.0,9400.0,1.01
beta_id[606],10.44,1.03,8.53,12.4,0.03,0.02,1607.0,6457.0,1.0
beta_id[607],-6.26,1.04,-8.18,-4.26,0.03,0.02,1655.0,5128.0,1.01
beta_id[608],0.54,0.8,-0.95,2.07,0.02,0.01,3004.0,9595.0,1.01
beta_id[609],-0.79,0.82,-2.36,0.73,0.02,0.01,2718.0,8380.0,1.01
beta_id[610],-1.08,0.84,-2.64,0.51,0.02,0.01,2975.0,9277.0,1.01
beta_id[611],-0.33,0.8,-1.81,1.18,0.01,0.01,3465.0,12389.0,1.0
beta_id[612],-1.5,0.8,-3.01,-0.0,0.01,0.01,3056.0,10593.0,1.01
beta_id[613],-5.3,1.04,-7.25,-3.34,0.03,0.02,1645.0,5314.0,1.01
beta_id[614],-0.4,0.8,-1.91,1.12,0.02,0.01,2839.0,8656.0,1.01
beta_id[615],-0.09,0.84,-1.64,1.5,0.02,0.01,2988.0,9491.0,1.01
beta_id[616],-4.63,1.02,-6.51,-2.68,0.03,0.02,1520.0,5989.0,1.01
beta_id[617],0.03,0.8,-1.48,1.5,0.01,0.01,3293.0,10642.0,1.01
beta_id[618],-0.17,0.81,-1.72,1.33,0.02,0.01,2828.0,9078.0,1.01
