,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_id[918],-1.25,0.8,-2.74,0.29,0.01,0.01,3467.0,11226.0,1.0
beta_id[919],-4.33,1.09,-6.38,-2.29,0.03,0.02,1633.0,4731.0,1.01
beta_id[920],-0.82,0.82,-2.38,0.7,0.02,0.01,2767.0,9433.0,1.01
beta_id[921],0.0,0.83,-1.56,1.57,0.02,0.01,2646.0,7893.0,1.01
beta_id[922],-1.59,0.81,-3.09,-0.05,0.01,0.01,3347.0,10262.0,1.0
beta_id[923],-0.27,0.81,-1.78,1.27,0.02,0.01,2818.0,8605.0,1.01
beta_id[924],-0.91,1.03,-2.82,1.04,0.02,0.02,1665.0,5595.0,1.01
beta_id[925],-5.13,1.07,-7.11,-3.11,0.03,0.02,1669.0,5081.0,1.01
beta_id[926],0.38,0.78,-1.1,1.86,0.01,0.01,3487.0,10113.0,1.0
beta_id[927],-0.4,0.82,-1.94,1.15,0.02,0.01,2803.0,8461.0,1.01
beta_id[928],-2.65,1.02,-4.55,-0.72,0.02,0.02,1649.0,6072.0,1.01
beta_id[929],0.49,0.82,-1.05,2.06,0.02,0.01,2747.0,8293.0,1.01
beta_id[930],5.98,0.8,4.54,7.52,0.01,0.01,3313.0,10156.0,1.01
beta_id[931],-1.75,0.78,-3.2,-0.27,0.01,0.01,3623.0,10943.0,1.0
beta_id[932],-1.02,0.82,-2.57,0.52,0.02,0.01,2794.0,7867.0,1.01
beta_id[933],-7.24,1.03,-9.15,-5.29,0.02,0.02,1649.0,5916.0,1.01
beta_id[934],0.15,0.82,-1.38,1.68,0.02,0.01,2805.0,9004.0,1.01
beta_id[935],-0.54,0.83,-2.1,1.02,0.02,0.01,2673.0,8877.0,1.01
beta_id[936],-0.12,0.8,-1.61,1.38,0.01,0.01,3287.0,10068.0,1.01
beta_id[937],-4.12,1.05,-6.09,-2.15,0.02,0.02,1857.0,3769.0,1.01
beta_id[938],-0.33,0.81,-1.82,1.22,0.02,0.01,3027.0,8987.0,1.01
beta_id[939],-0.7,0.8,-2.2,0.79,0.01,0.01,3578.0,12610.0,1.0
beta_id[940],-0.61,0.83,-2.18,0.93,0.02,0.01,2651.0,8162.0,1.01
beta_id[941],5.33,1.04,3.36,7.27,0.03,0.02,1655.0,5140.0,1.01
beta_id[942],0.73,0.82,-0.83,2.28,0.02,0.01,2690.0,8380.0,1.01
beta_id[943],-0.04,0.79,-1.52,1.46,0.01,0.01,3298.0,10698.0,1.0
beta_id[944],2.83,1.03,0.86,4.72,0.02,0.02,1674.0,5702.0,1.01
beta_id[945],13.35,1.64,10.2,16.36,0.05,0.03,1177.0,2632.0,1.01
beta_id[946],1.63,0.8,0.1,3.11,0.02,0.01,3003.0,9267.0,1.01
beta_id[947],-0.62,0.82,-2.14,0.92,0.02,0.01,2757.0,7918.0,1.01
beta_id[948],0.35,0.79,-1.14,1.83,0.01,0.01,3624.0,12059.0,1.0
beta_id[949],-1.12,0.79,-2.59,0.39,0.01,0.01,3126.0,10209.0,1.01
beta_id[950],-1.05,0.78,-2.53,0.44,0.01,0.01,3530.0,11446.0,1.0
beta_id[951],0.13,0.82,-1.39,1.68,0.02,0.01,2713.0,7894.0,1.01
beta_id[952],0.16,0.8,-1.36,1.65,0.01,0.01,3074.0,9756.0,1.01
beta_id[953],-2.07,0.78,-3.56,-0.6,0.01,0.01,3467.0,11330.0,1.0
beta_id[954],-4.43,1.02,-6.31,-2.47,0.02,0.02,1618.0,5147.0,1.01
beta_id[955],-0.54,0.81,-2.07,0.98,0.02,0.01,2969.0,8641.0,1.01
beta_id[956],-1.05,0.81,-2.58,0.48,0.02,0.01,2920.0,8974.0,1.01
beta_id[957],-2.65,1.08,-4.64,-0.58,0.03,0.02,1611.0,4501.0,1.01
beta_id[958],1.58,0.83,0.06,3.15,0.02,0.01,3110.0,9998.0,1.0
beta_id[959],1.04,0.82,-0.53,2.54,0.02,0.01,2840.0,8900.0,1.01
beta_id[960],-2.3,0.91,-4.03,-0.59,0.02,0.01,2359.0,6363.0,1.01
beta_id[961],-0.61,0.81,-2.14,0.92,0.02,0.01,2778.0,8938.0,1.01
beta_id[962],5.05,1.03,3.1,6.96,0.03,0.02,1609.0,5907.0,1.01
beta_id[963],0.8,0.79,-0.67,2.31,0.01,0.01,3202.0,10113.0,1.01
beta_id[964],-1.22,0.79,-2.7,0.28,0.01,0.01,3223.0,11309.0,1.01
beta_id[965],-2.13,1.04,-4.07,-0.16,0.03,0.02,1640.0,5466.0,1.01
beta_id[966],-1.93,1.06,-3.97,0.04,0.03,0.02,1641.0,4993.0,1.01
beta_id[967],0.52,0.79,-0.95,2.01,0.01,0.01,3159.0,9923.0,1.01
beta_id[968],1.08,0.79,-0.45,2.54,0.01,0.01,3155.0,9633.0,1.01
beta_id[969],0.68,0.8,-0.79,2.2,0.01,0.01,3265.0,9269.0,1.01
beta_id[970],-0.38,0.81,-1.91,1.13,0.02,0.01,2719.0,8712.0,1.01
beta_id[971],-2.63,1.06,-4.58,-0.62,0.03,0.02,1653.0,5545.0,1.01
beta_id[972],-2.37,1.06,-4.36,-0.37,0.03,0.02,1684.0,5473.0,1.01
beta_id[973],-0.1,1.02,-2.0,1.85,0.03,0.02,1608.0,5892.0,1.01
beta_id[974],-0.3,0.81,-1.8,1.22,0.02,0.01,2928.0,9010.0,1.01
beta_id[975],2.12,0.81,0.6,3.65,0.02,0.01,2842.0,8702.0,1.01
beta_id[976],-2.53,1.02,-4.46,-0.64,0.02,0.02,1627.0,5874.0,1.01
beta_id[977],2.16,0.8,0.63,3.63,0.01,0.01,3196.0,10512.0,1.01
beta_id[978],2.68,0.88,1.06,4.39,0.02,0.01,2627.0,6551.0,1.01
beta_id[979],0.2,0.8,-1.28,1.73,0.01,0.01,3088.0,9721.0,1.01
beta_id[980],-0.48,0.82,-2.06,1.04,0.02,0.01,2668.0,8485.0,1.01
beta_id[981],-0.5,0.79,-2.01,0.96,0.01,0.01,3179.0,9349.0,1.01
beta_id[982],-3.94,1.05,-5.9,-1.96,0.03,0.02,1647.0,5584.0,1.01
beta_id[983],-0.46,0.82,-2.01,1.09,0.02,0.01,2673.0,8264.0,1.01
beta_id[984],-2.77,0.79,-4.28,-1.29,0.01,0.01,3701.0,12582.0,1.0
beta_id[985],-0.47,0.82,-2.01,1.06,0.02,0.01,2625.0,8480.0,1.01
beta_id[986],-0.3,0.82,-1.84,1.26,0.02,0.01,2636.0,8436.0,1.01
beta_id[987],-2.82,1.03,-4.78,-0.88,0.03,0.02,1561.0,6103.0,1.01
beta_id[988],2.22,0.81,0.71,3.77,0.02,0.01,2818.0,9009.0,1.01
beta_id[989],-4.16,1.06,-6.15,-2.19,0.03,0.02,1660.0,5003.0,1.01
beta_id[990],-4.61,1.08,-6.64,-2.6,0.03,0.02,1620.0,4550.0,1.01
beta_id[991],-2.58,0.79,-4.08,-1.12,0.01,0.01,3621.0,12051.0,1.0
beta_id[992],8.87,1.03,6.85,10.74,0.03,0.02,1644.0,5602.0,1.01
beta_id[993],-5.14,1.03,-7.03,-3.19,0.02,0.02,1667.0,5535.0,1.01
beta_id[994],-0.89,0.79,-2.4,0.57,0.01,0.01,3416.0,10717.0,1.0
beta_id[995],5.21,0.8,3.72,6.72,0.01,0.01,3141.0,10054.0,1.01
beta_id[996],1.72,1.05,-0.24,3.68,0.03,0.02,1642.0,5188.0,1.01
beta_id[997],-0.41,0.82,-1.96,1.15,0.02,0.01,2616.0,8204.0,1.01
beta_id[998],-0.03,0.83,-1.58,1.55,0.02,0.01,2606.0,7788.0,1.01
beta_id[999],-5.74,1.08,-7.78,-3.73,0.03,0.02,1638.0,4773.0,1.01
beta_visit_num,0.11,0.02,0.08,0.14,0.0,0.0,105131.0,68942.0,1.0
beta_lagged_sales_num,0.29,0.01,0.28,0.3,0.0,0.0,60323.0,61807.0,1.0
beta_exp10,5.78,0.83,4.22,7.36,0.03,0.02,814.0,2237.0,1.01
beta_avg_samp,2.76,0.49,1.84,3.68,0.02,0.01,1047.0,1730.0,1.02
sigma,3.37,0.02,3.34,3.4,0.0,0.0,145880.0,59356.0,1.0
